level,rep,comment
L0,49,"This portfolio emphasizes lower-volatility, defensive stocks such as JNJ, PG, WMT, UNH, KO, and MRK while maintaining broad sector diversification across all 30 names. More cyclical and higher-risk stocks such as BA, DOW, INTC, and DIS receive smaller weights. The weights are long-only, non-negative, and sum exactly to 1."
L1,49,"This portfolio emphasizes higher-return stocks such as MSFT, AAPL, AMZN, UNH, and V, while giving larger weights to lower-volatility, defensive names like WMT, JNJ, MRK, PG, KO, and MCD to reduce overall risk. It avoids or minimizes negative-return and high-volatility stocks such as MMM, VZ, INTC, BA, and DOW. The result is a long-only diversified allocation designed for a risk-averse investor balancing expected return with covariance-based risk control."
L2,49,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return names and lower-volatility diversifiers such as MRK, PG, WMT, AMGN, and UNH, while excluding negative-return or inefficient assets."
L3,49,"The portfolio was formed by solving the long-only constrained mean-variance problem with lambda = 0.5, which favors stocks with strong expected returns adjusted for covariance risk. The solution concentrates in high-return names such as MSFT, AAPL, AMZN, and UNH while allocating meaningful weight to lower-volatility diversifiers like MRK, PG, WMT, and AMGN. Negative-return or weak risk-adjusted assets were driven to zero by the non-negativity constraint."
L0,50,"This portfolio was constructed for a risk-averse investor by overweighting defensive, cash-flow-stable sectors such as healthcare, consumer staples, telecom, and diversified technology, while underweighting more cyclical names like aerospace, chemicals, and discretionary media. It is broadly diversified across all 30 stocks, uses only non-negative weights, and sums exactly to 1."
L1,50,"This portfolio emphasizes stocks with relatively strong expected returns while tilting toward lower-volatility, lower-correlation defensive names such as JNJ, MRK, PG, WMT, KO, and MCD. It limits or excludes negative-return and higher-risk cyclical stocks like MMM, BA, DOW, INTC, VZ, and DIS, while keeping moderate exposure to high-return growth names such as MSFT, AAPL, AMZN, UNH, V, and CRM for balance."
L2,50,"The portfolio was constructed using a long-only mean-variance objective with λ = 0.5, maximizing expected return while penalizing covariance-based risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, AMGN, and UNH, while assigning zero weight to weaker or less efficient names."
L3,50,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and favorable risk-adjusted covariance structure, while negative- or low-alpha names and highly volatile names receive little or zero weight. The result is diversified across technology, healthcare, consumer, financials, and defensives to suit a risk-averse investor."
L0,51,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. Weights are long-only, non-negative, and fully invested to sum to 1. The result is a diversified allocation designed for a risk-averse investor."
L1,51,"This portfolio emphasizes higher-return stocks with comparatively favorable risk while giving larger weights to defensive, lower-volatility names such as JNJ, MRK, PG, WMT, MCD, and AMGN. It limits or excludes negative-return and high-volatility stocks like MMM, BA, DOW, INTC, and VZ, while keeping exposure across technology, healthcare, consumer, financials, and industrials to reduce concentration risk."
L2,51,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, AMGN, UNH, while still keeping meaningful exposure to higher-return names like AAPL, MSFT, and AMZN."
L3,51,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, emphasizing higher expected return stocks while penalizing covariance risk and enforcing long-only fully invested weights. Negative or weak-return names with relatively unattractive risk-adjusted profiles were driven to zero by the no-short-sale constraint. The result is a diversified allocation tilted toward strong-return, lower-correlation names such as MSFT, AAPL, AMZN, MRK, PG, WMT, V, UNH, and CRM."
L0,52,"This portfolio was constructed for a risk-averse investor by emphasizing defensive, high-quality companies across healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. The weights are fully long-only, non-negative, sum to 1, and are spread across all 30 stocks to improve diversification."
L1,52,"This portfolio emphasizes higher-return stocks with relatively favorable risk-adjusted profiles while allocating heavily to lower-volatility, lower-correlation defensive names such as JNJ, MRK, PG, WMT, KO, and MCD. It avoids or minimizes negative-return and high-volatility stocks like MMM, VZ, BA, and INTC, while keeping exposure diversified across technology, healthcare, consumer, financials, and industrials."
L2,52,"The portfolio was formed by maximizing a mean-variance objective with lambda = 0.5 under long-only, fully invested constraints. Because the investor is risk-averse, the solution tilts toward stocks with strong expected return per unit of risk and lower covariance with the rest of the universe, producing concentration in defensive names plus select high-return technology stocks."
L3,52,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, emphasizing higher expected return stocks while penalizing covariance risk and enforcing long-only fully invested weights. Negative or weak-return names with relatively unattractive risk-adjusted profiles were driven to zero, while capital was spread across technology, healthcare, consumer, financials, and defensives to maintain diversification."
L0,53,"This portfolio was constructed for a risk-averse investor by emphasizing defensive, cash-flow-stable sectors such as healthcare, consumer staples, telecom, and broad-based large-cap technology, while limiting exposure to more cyclical names. It is diversified across all 30 stocks, uses only non-negative weights, and sums exactly to 1."
L1,53,"This portfolio emphasizes higher-return stocks like MSFT, AAPL, AMZN, UNH, and V, while giving larger weights to lower-volatility defensive names such as JNJ, MRK, PG, WMT, KO, and MCD to reduce overall risk. It avoids negative-expected-return stocks and limits exposure to highly volatile cyclical names like BA, MMM, and DOW. Diversification across technology, healthcare, consumer staples, financials, and industrials helps balance expected return with lower portfolio volatility."
L2,53,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. The solution concentrates in assets with the strongest risk-adjusted expected returns and diversification benefits, especially WMT, MRK, AAPL, MSFT, and AMZN. Negative-return and weak risk-adjusted names receive zero weight due to the no-short-selling constraint."
L3,53,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and comparatively favorable risk-adjusted covariance profiles, while several lower-return or higher-risk names are driven to zero by the no-short-sale constraint. The result is diversified across technology, healthcare, consumer, financials, and defensives."
L0,54,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks across healthcare, consumer staples, technology, and diversified financials while limiting exposure to more cyclical names. Weights are long-only, fully invested, and broadly diversified across all 30 stocks to suit a risk-averse investor."
L1,54,"This portfolio emphasizes higher-return stocks with comparatively favorable risk-adjusted profiles while giving larger weights to defensive names such as JNJ, MRK, PG, WMT, KO, and MCD to reduce overall volatility. It also limits exposure to negative- or low-return stocks and to more volatile cyclical names like BA, MMM, DOW, and DIS, while maintaining diversification across technology, healthcare, consumer, financials, and industrials."
L2,54,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the constraints that weights are non-negative and sum to 1. Because the investor is risk-averse, the solution tilts toward stocks with strong return-to-risk characteristics and diversification benefits, especially WMT, MRK, PG, MSFT, AAPL, AMZN, and AMGN."
L3,54,"The portfolio was formed by solving the long-only mean-variance problem with lambda = 0.5, favoring stocks with stronger expected returns while penalizing covariance risk. Negative-return names and several high-volatility cyclicals were driven to zero by the non-negativity constraint, while lower-covariance defensive names and high-return tech/quality stocks received larger weights. The result is a diversified long-only allocation that sums exactly to 1."
L0,55,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. Weights are long-only, diversified across all 30 stocks, and sum to 1. The construction is intended to reduce concentration risk and support a risk-averse investor profile."
L1,55,"This portfolio emphasizes higher-return stocks with comparatively favorable risk-adjusted characteristics while giving larger weights to defensive names such as MRK, WMT, PG, JNJ, MCD, and AMGN to reduce volatility. It also limits exposure to highly volatile or negative-expected-return stocks and spreads capital across technology, healthcare, consumer staples, financials, and industrials to improve diversification."
L2,55,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward stocks with strong return-to-risk tradeoffs and diversification benefits, leading to larger weights in lower-volatility names like MRK, PG, and WMT while still keeping exposure to higher-return stocks such as AAPL, MSFT, and AMZN."
L3,55,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and favorable risk-adjusted covariance structure, while several lower-return or higher-risk names are driven to zero by the no-short-sale constraint. The result is a diversified allocation across technology, healthcare, consumer, financials, and industrials."
L0,56,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. Weights are long-only, non-negative, and sum to 1, with broad diversification across all 30 stocks to reduce single-stock risk."
L1,56,"This portfolio emphasizes stocks with relatively strong expected returns while tilting toward lower-volatility, lower-correlation names such as JNJ, MRK, PG, WMT, MCD, and AMGN to suit a risk-averse investor. Higher-risk or negative-return stocks were given zero or small weights, while selective exposure to growth leaders like MSFT, AAPL, AMZN, UNH, and V helps preserve return potential."
L2,56,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, AMGN, and UNH, while excluding negative-return or inefficient names."
L3,56,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, favoring stocks with stronger expected returns while penalizing covariance risk under long-only, fully invested constraints. Higher weights go to attractive risk-adjusted names such as MSFT, AAPL, AMZN, MRK, WMT, UNH, and V, while negative or weak-return names and very high-volatility names receive zero weight. The result is a diversified portfolio across technology, healthcare, consumer, financials, and industrials."
L0,57,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks while maintaining exposure across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to historically resilient companies such as JNJ, MSFT, PG, UNH, and WMT, while more cyclical or higher-risk names such as BA, DOW, and DIS received smaller allocations. The weights are long-only, non-negative, and sum exactly to 1."
L1,57,"This portfolio emphasizes stocks with relatively strong expected returns while giving larger weights to lower-volatility, defensive names such as PG, WMT, JNJ, MRK, and MCD to suit a risk-averse investor. It also limits or excludes negative-return and higher-risk names like MMM, BA, DOW, INTC, and VZ, while keeping exposure diversified across technology, healthcare, consumer, financials, and industrials."
L2,57,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, AMGN, and UNH, while excluding assets with weak expected returns or unfavorable risk-return tradeoffs."
L3,57,"The portfolio was constructed by solving the long-only constrained mean-variance problem with lambda = 0.5, favoring stocks with strong expected returns while penalizing covariance risk. Negative-return names and high-volatility names with weaker risk-adjusted contribution were pushed to zero, while lower-covariance defensive stocks and high-return tech/quality names received larger weights. The result is a diversified long-only allocation whose weights sum exactly to 1."
L0,58,"This portfolio was constructed to emphasize lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. It is broadly diversified across all 30 stocks, uses only non-negative weights, and sums exactly to 1. The allocation is suitable for a risk-averse investor seeking stability and diversification."
L1,58,"This portfolio emphasizes higher-return stocks with relatively favorable risk-adjusted profiles while giving larger weights to defensive names such as PG, WMT, JNJ, MRK, MCD, and AMGN to reduce overall volatility. It also limits exposure to negative-expected-return stocks and the most volatile cyclical names, while maintaining diversification across technology, healthcare, consumer staples, financials, and industrials."
L2,58,"This portfolio applies a long-only mean-variance allocation with lambda = 0.5, favoring stocks with stronger expected returns relative to their variance and covariance contribution. It concentrates on a diversified mix of growth and defensive names such as MSFT, AAPL, AMZN, MRK, PG, WMT, UNH, AMGN, and V while assigning zero weight to less attractive risk-adjusted candidates."
L3,58,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, maximizing expected return minus a variance penalty subject to long-only weights summing to 1. Higher weights go to assets with strong expected returns and/or favorable risk-adjusted covariance profiles, while negative-return or high-risk names are driven to zero by the no-short-selling constraint. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,59,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified payments while limiting exposure to more cyclical names. Weights are long-only, non-negative, and fully invested to sum to 1. The result is a broadly diversified allocation designed for a risk-averse investor."
L1,59,"This portfolio emphasizes higher-return stocks with relatively favorable risk profiles while giving larger weights to defensive, lower-volatility names such as JNJ, MRK, PG, WMT, KO, and MCD. It avoids negative-expected-return stocks and limits exposure to highly volatile cyclical names like BA, MMM, and DOW. Diversification across technology, healthcare, consumer staples, financials, and industrials helps reduce overall portfolio risk through imperfect correlations."
L2,59,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return minus risk penalty subject to non-negative weights summing to 1. The solution concentrates in assets with the strongest return-to-risk tradeoff and diversification benefits, especially MRK, WMT, MSFT, AAPL, and AMZN."
L3,59,"The weights reflect a constrained mean-variance solution with lambda = 0.5 under long-only and full-investment constraints, favoring stocks with stronger expected returns and/or attractive diversification benefits. Higher allocations go to MSFT, MRK, AAPL, PG, WMT, and AMZN, while negative- or weak-return names and highly volatile names with less favorable risk-adjusted tradeoffs are pushed to zero. The result is a diversified long-only portfolio balancing growth, defensives, healthcare, and consumer exposure."
L0,60,"This portfolio was constructed for a risk-averse investor by overweighting defensive, high-quality sectors such as healthcare, consumer staples, telecom, and diversified technology while limiting exposure to more cyclical names. It is broadly diversified across all 30 stocks, uses only non-negative weights, and sums exactly to 1."
L1,60,"The portfolio emphasizes stocks with stronger expected returns while tilting heavily toward lower-volatility, lower-correlation defensive names such as MRK, PG, WMT, JNJ, MCD, and AMGN. Higher-risk names with weak or negative expected returns were given zero or minimal weight, while select growth stocks like MSFT, AAPL, AMZN, and V were included in moderated sizes to improve return potential."
L2,60,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, AMGN, and UNH, while avoiding negative-return names and highly volatile stocks with weaker return-to-risk tradeoffs."
L3,60,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and favorable risk-adjusted covariance profiles, while several lower-return or higher-risk names are driven to zero by the non-negativity constraint. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,61,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks while maintaining exposure across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to historically resilient companies such as JNJ, MSFT, PG, UNH, and WMT, while more cyclical or higher-risk names such as BA, DOW, and DIS received smaller allocations. The weights are long-only, non-negative, and sum exactly to 1."
L1,61,"The portfolio emphasizes stocks with stronger expected returns while favoring lower-volatility, lower-correlation names such as PG, WMT, JNJ, MRK, AMGN, and MCD to suit a risk-averse investor. It underweights or excludes negative-return and high-volatility stocks like MMM, INTC, VZ, BA, and DOW, while keeping moderate exposure to higher-return growth names such as MSFT, AAPL, AMZN, CRM, and V. The result is a long-only diversified allocation balancing return potential with downside risk control."
L2,61,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward stocks with strong return-to-risk tradeoffs and diversification benefits, leading to concentration in MSFT, MRK, PG, V, AAPL, UNH, AMZN, and AMGN."
L3,61,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, maximizing expected return minus a variance penalty subject to long-only weights summing to 1. Because of the no-short-selling constraint, the solution is obtained numerically as a quadratic program and concentrates on stocks with strong return-to-risk tradeoffs and diversification benefits. The resulting allocation favors high expected return names while retaining diversification across technology, healthcare, payments, retail, and pharma."
L0,62,"This portfolio was constructed for a risk-averse investor by emphasizing defensive, cash-generative companies across healthcare, consumer staples, telecom, and diversified technology while limiting exposure to more cyclical names. The weights are long-only, fully invested, and broadly diversified across all 30 stocks to reduce concentration risk."
L1,62,"This portfolio emphasizes higher-return stocks with comparatively favorable risk-adjusted characteristics while allocating heavily to defensive names such as WMT, PG, MRK, JNJ, MCD, and AMGN to reduce volatility. It also limits exposure to negative- or low-return stocks and to higher-volatility cyclical names like BA, MMM, DOW, and GS. Diversification across technology, healthcare, consumer staples, financials, and industrials helps balance expected return and correlation risk."
L2,62,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return minus risk while enforcing non-negative weights that sum to 1. Because the investor is risk-averse, the solution tilts toward stocks with strong return-to-risk tradeoffs and diversification benefits, leading to larger allocations in lower-volatility names such as MRK, PG, and WMT alongside growth exposures like MSFT, AAPL, and AMZN."
L3,62,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, emphasizing higher expected-return stocks while penalizing variance and covariance under long-only, fully invested constraints. Negative or weak-return names with relatively poor risk-adjusted characteristics were pushed to zero, while lower-volatility diversifiers such as WMT, PG, MRK, AMGN, and UNH were retained alongside growth leaders like MSFT, AAPL, AMZN, CRM, and V. The result is a diversified long-only allocation balancing return potential and risk aversion."
L0,63,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks while maintaining exposure across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to historically resilient companies such as JNJ, MSFT, PG, UNH, WMT, and AAPL, while more cyclical names like BA and DOW were kept smaller. The weights are long-only, non-negative, and sum exactly to 1."
L1,63,"This portfolio emphasizes higher-return stocks with comparatively favorable risk-adjusted characteristics while giving larger weights to lower-volatility, defensive names such as WMT, PG, MRK, JNJ, and MCD. It also includes selective exposure to growth leaders like MSFT, AAPL, AMZN, CRM, and V, while avoiding or minimizing negative-return and high-volatility names such as MMM, BA, INTC, VZ, and DIS."
L2,63,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return names and lower-volatility diversifiers such as MRK, PG, WMT, AMGN, and UNH, while excluding negative-return or inefficient assets. The final weights are non-negative, sum to 1, and remain diversified across technology, healthcare, consumer, and payments."
L3,63,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and/or favorable risk-adjusted covariance profiles, while negative-return and high-volatility names are pushed to zero. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,64,"This portfolio emphasizes defensive, high-quality companies in healthcare, consumer staples, telecom, and broad technology while limiting exposure to more cyclical names such as aerospace, chemicals, and investment banking. The weights are fully long-only, diversified across all 30 stocks, and sum exactly to 1 to suit a risk-averse investor."
L1,64,"This portfolio emphasizes higher-return stocks with comparatively favorable risk-adjusted profiles while giving larger weights to defensive names such as WMT, PG, JNJ, MRK, MCD, and AMGN to reduce volatility. It also diversifies across technology, healthcare, consumer staples, payments, industrials, and energy while avoiding or minimizing negative-return and higher-volatility names."
L2,64,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high-return stocks with relatively favorable risk-adjusted profiles and meaningful diversification across technology, healthcare, payments, and defensive consumer names."
L3,64,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and/or favorable risk-adjusted covariance profiles, while negative-return and high-volatility names are driven to zero. The result is a diversified allocation tilted toward high-return technology, healthcare, and defensive consumer stocks."
L0,65,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. Weights are long-only, non-negative, and fully invested to achieve broad diversification across all 30 stocks. The construction is intended to reduce concentration risk and suit a risk-averse investor."
L1,65,"This portfolio emphasizes stocks with stronger expected returns while tilting toward lower-volatility, lower-correlation defensive names such as PG, JNJ, MRK, WMT, KO, and MCD. It avoids or minimizes negative-return and high-volatility names like MMM, VZ, BA, DOW, and INTC, while keeping measured exposure to higher-return growth stocks such as MSFT, AAPL, AMZN, CRM, and V. The result is a long-only diversified allocation designed for a risk-averse investor balancing return and risk."
L2,65,"The portfolio was formed using a long-only mean-variance objective with lambda = 0.5, favoring stocks with stronger expected returns while penalizing high variance and covariance. This leads to concentration in high risk-adjusted return names such as MSFT, AAPL, MRK, PG, UNH, V, WMT, AMZN, AMGN, and CRM, while excluding lower-return or less efficient assets. The result is fully invested, non-negative, and diversified across technology, healthcare, consumer, and payments."
L3,65,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and/or favorable risk-adjusted covariance profiles, while negative or weak-return names were pushed to zero by the no-short-selling constraint. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,66,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and broad-based market leaders while limiting exposure to more cyclical names. It is diversified across all 30 stocks with no short positions and weights summing exactly to 1. The allocation is tilted toward stable cash-flow businesses to suit a risk-averse investor."
L1,66,"This portfolio emphasizes higher-return stocks such as MSFT, AAPL, AMZN, UNH, V, and MRK, while giving larger weights to lower-volatility defensive names like WMT, PG, JNJ, MCD, and KO to reduce overall risk. It avoids negative-expected-return stocks and limits exposure to highly volatile cyclical names such as BA, MMM, and DOW. Diversification across technology, healthcare, consumer staples, financials, and industrials helps balance expected return with correlation risk."
L2,66,"The portfolio was constructed by maximizing a mean-variance objective with lambda = 0.5 under long-only, fully invested constraints. It tilts toward stocks with strong expected returns and/or favorable risk-adjusted covariance characteristics, while excluding names with negative expected returns or weaker diversification benefits. The result is a concentrated but still diversified allocation across growth, healthcare, payments, and defensive retail."
L3,66,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and/or favorable risk-adjusted covariance characteristics, while negative or weak-return names were pushed to zero. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives for a risk-averse investor."
L0,67,"This portfolio was constructed with a defensive tilt, giving higher weights to historically steadier sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology. More cyclical and higher-volatility names received smaller allocations to reduce overall risk while maintaining diversification across all 30 stocks. The weights are long-only, non-negative, and sum exactly to 1."
L1,67,"The portfolio emphasizes stocks with stronger expected returns while tilting heavily toward lower-volatility, lower-correlation defensive names such as PG, WMT, JNJ, MRK, MCD, and AMGN. It avoids or minimizes negative-return and high-volatility names like MMM, INTC, VZ, BA, and DOW, while keeping moderate exposure to higher-return growth stocks such as MSFT, AAPL, AMZN, V, CRM, and UNH. This produces a diversified, long-only allocation designed for a risk-averse investor."
L2,67,"The portfolio was constructed by maximizing a mean-variance objective with lambda = 0.5 under long-only constraints and full investment. The solution concentrates in assets with the strongest return-to-risk tradeoff and diversification benefit, especially WMT, MRK, MSFT, AAPL, and AMZN. Negative-return names and higher-volatility stocks with weaker risk-adjusted profiles receive zero weight."
L3,67,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, maximizing expected return minus a variance penalty subject to long-only weights summing to 1. Higher weights go to assets with strong expected returns and favorable risk-adjusted covariance structure, while several low-return or negative-return names are driven to zero by the no-short-selling constraint. The result is a diversified allocation across technology, healthcare, consumer, financials, and defensives."
L0,68,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. Weights are long-only, fully invested, and spread across all 30 stocks to improve diversification. The allocation is tilted toward stable cash-flow businesses to better suit a risk-averse investor."
L1,68,"This portfolio emphasizes higher-return stocks with comparatively favorable risk-adjusted profiles while giving larger weights to defensive names such as JNJ, MRK, PG, WMT, KO, and MCD to reduce overall volatility. It also limits exposure to high-volatility or negative-expected-return stocks like BA, MMM, INTC, and VZ, and diversifies across technology, healthcare, consumer staples, financials, and industrials to manage correlations."
L2,68,"This portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance-based risk under the full-investment constraint. The solution concentrates on stocks with stronger return-to-risk tradeoffs and diversification benefits, leading to meaningful allocations in MSFT, MRK, PG, AAPL, UNH, AMZN, V, WMT, and AMGN."
L3,68,"The portfolio was formed by solving the long-only constrained mean-variance problem numerically with lambda = 0.5, favoring assets with strong expected returns relative to their covariance contribution. Negative or weak-return names and high-volatility names with less attractive risk-adjusted profiles were driven to zero by the no-short-selling constraint. The result is a diversified allocation tilted toward high expected return stocks while retaining meaningful exposure to lower-volatility defensive names."
L0,69,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and broad-based large-cap technology while limiting exposure to more cyclical names. Weights are long-only, diversified across all 30 stocks, and sum exactly to 1. The construction is intended to reduce concentration risk and better suit a risk-averse investor."
L1,69,"This portfolio emphasizes stocks with relatively strong expected returns while favoring lower-volatility and lower-correlation names such as JNJ, MRK, PG, WMT, MCD, and AMGN to suit a risk-averse investor. It also includes moderate exposure to higher-return growth stocks like MSFT, AAPL, AMZN, V, and UNH, while avoiding or minimizing negative-return and high-risk names such as MMM, VZ, BA, and DOW."
L2,69,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as WMT, MRK, PG, UNH, MSFT, and AAPL. Negative-return names and highly volatile stocks received zero weight under the non-negativity constraint."
L3,69,"The portfolio was chosen using constrained mean-variance optimization with lambda = 0.5, emphasizing higher expected return names while penalizing covariance risk and enforcing long-only fully invested weights. Negative or weak-return stocks with relatively poor risk-adjusted contribution were driven to zero, while lower-volatility diversifiers such as MRK, PG, and WMT were retained alongside high-return technology leaders. The result is a diversified long-only allocation balancing growth, defensives, healthcare, financials, and consumer exposure."
L0,70,"This portfolio was constructed for a risk-averse investor by emphasizing defensive, high-quality companies in healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. The weights are fully long-only, non-negative, sum exactly to 1, and are spread across all 30 stocks to maintain diversification."
L1,70,"This portfolio emphasizes stocks with relatively strong expected returns while tilting toward lower-volatility, lower-correlation names in healthcare, consumer staples, payments, and large-cap technology. It avoids or minimizes negative-return and high-volatility cyclical stocks to suit a risk-averse investor. The result is a long-only diversified allocation with weights summing exactly to 1."
L2,70,"This portfolio applies a long-only mean-variance allocation with lambda = 0.5, favoring stocks with stronger expected returns relative to their risk and covariance contribution. The solution concentrates on high risk-adjusted return names such as MSFT, AAPL, MRK, V, UNH, WMT, PG, AMZN, and AMGN while excluding negative-return or less efficient assets. The result is diversified across technology, healthcare, consumer, and payments to suit a risk-averse investor."
L3,70,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Higher weights go to stocks with strong expected returns and/or favorable risk-adjusted covariance profiles, while negative or weak-return names were pushed to zero. The result is diversified across technology, healthcare, consumer, financials, and defensives to reflect a risk-averse investor preference."
L0,71,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and broad-based technology while limiting exposure to more cyclical names. It is diversified across all 30 stocks with no short positions and weights summing exactly to 1. The allocation is tilted toward stable cash-flow businesses to suit a risk-averse investor."
L1,71,"This portfolio emphasizes higher-return stocks like MSFT, AAPL, AMZN, UNH, V, and MRK, while giving substantial weight to lower-volatility defensive names such as PG, WMT, JNJ, KO, and MCD. It avoids or minimizes negative-return and high-volatility stocks like MMM, INTC, VZ, BA, DOW, and GS, and spreads exposure across technology, healthcare, consumer, financials, and industrials to reduce concentration risk."
